method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
voomlimma,GSE45719sim123,full-length,,24,4,thr0.05,0.56229802513465,0.115254237288136,0.896583806229422,0,in range
Wilcoxon,GSE45719sim123,full-length,,24,4,thr0.05,0.491202872531418,0.0332155477031802,0.896420568390237,0,low FDP
zinbwaveDESeq2,GSE45719sim123,full-length,,24,4,thr0.05,0.555116696588869,0.164775796866559,0.778590056019083,0.311654697240348,high FDP
zinbwaveedgeR,GSE45719sim123,full-length,,24,4,thr0.05,0.485098743267504,0.0701995870612526,0.890225987778688,0,low FDP
BPSC,GSE45719sim123,full-length,,24,5,thr0.05,0.506446991404012,0.23526230394808,0.652789164774561,0.0576873927489138,high FDP
D3E,GSE45719sim123,full-length,,24,5,thr0.05,0.437320916905444,0.0216346153846154,0.841503357911773,0.00160648435503304,low FDP
DESeq2,GSE45719sim123,full-length,,24,5,thr0.05,0.585601719197708,0.125200642054575,0.848762794062639,0.222607616196283,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,24,5,thr0.05,0.600286532951289,0.146639511201629,0.862416341977083,0.221074153857388,high FDP
DESeq2census,GSE45719sim123,full-length,,24,5,thr0.05,0.228151862464183,0.0333839150227618,0.636321820060289,0.729782029281828,in range
DESeq2LRT,GSE45719sim123,full-length,,24,5,thr0.05,0.575214899713467,0.0854214123006834,0.869361936770307,0.201905874621198,in range
DESeq2nofilt,GSE45719sim123,full-length,,24,5,thr0.05,0.606017191977077,0.0966364121729845,0.918024616997926,0,in range
DEsingle,GSE45719sim123,full-length,,24,5,thr0.05,0.524355300859599,0.051198963058976,0.910572096988556,0,in range
edgeRLRT,GSE45719sim123,full-length,,24,5,thr0.05,0.709527220630373,0.117987533392698,0.950045434408394,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,24,5,thr0.05,0.330229226361032,0.0425752855659398,0.849813841532379,0,in range
